ID 	How_often	Work_Din	Aperitif	Rom_Din	Spec_Occ	Place	Reasons	Meaning	Percept	Pl_Origin	W_Brand	Price	Pack	Quality	Info_lab	Sal_rec	F_rec	Provenance	Tech_inf	D_taste	Fbsw	Brand	History	Loyalty	Unloyal	List_Adv	G_info	Fr_rec	M_C_P	M_C_I_P	Know_it	Tried_w	Why_it_w	J_I_P	IT_Vs_Am	Dryness	Sweet	Oak	Fruity	Still	Spark	Red	White	D_of_B	Today	Age	Sex	Ed_level	City	Area 	Urb_rur	Home_con	Sp_occ	Gift	Format	It_brands	Job
1	3	2	2	5	5	1	4	8	3	2	4	3	4	3	4	3	3	3	3	3	5	4	4	3	4	3	2	4	1	2	2	1	3	2	2	2	4	4	4	3	4	4	2	17/10/1989	04/06/2014	25	1	3	14	6	1	1	2	3	2	10	1
2	2	2	2	2	2	1	1	2	3	2	3	3	1	3	3	1	3	3	1	1	3	3	2	3	1	1	1	3	2	3	2	3	2	1	1	2	2	2	2	5	2	2	2	1/5/1989	04/06/2014	25	1	3	14	6	1	1	2	2	2	5	3
3	3	1	5	5	5	4	6	8	2	1	1	4	2	2	4	3	5	1	1	4	1	1	1	3	2	1	2	4	1	5	2	1	NA	3	3	1	5	2	4	4	4	4	4	3/8/1992	04/06/2014	22	1	3	14	6	1	1	2	2	3	10	3
4	2	3	3	5	5	1	4	4	2	4	4	5	3	3	2	2	4	2	4	2	3	3	3	3	3	3	4	4	1	2	2	1	2	3	2	3	3	4	5	3	5	4	5	26/4/1991	04/06/2014	23	1	4	14	6	1	1	3	3	1	7	8
5	6	4	5	5	5	1	2	2	2	2	3	3	1	5	2	3	3	4	3	4	4	3	3	2	4	3	1	2	2	2	1	1	1	1	2	4	1	4	3	5	3	5	4	11/12/1971	04/06/2014	43	1	2	33	3	2	2	2	3	1	1	3
6	3	1	5	5	5	1	1	4	2	4	4	4	2	4	2	1	4	3	2	2	2	2	2	3	3	2	2	5	1	3	2	1	1	2	2	3	2	4	2	3	2	4	2	6/11/1973	04/06/2014	41	1	4	3	3	1	2	3	3	1	1	2
7	3	5	5	5	5	1	6	2	2	5	2	2	2	5	2	3	3	5	3	2	1	1	3	1	5	2	4	3	2	1	1	1	4	1	1	3	3	5	3	5	1	5	2	24/2/1979	04/06/2014	35	1	4	3	3	1	1	2	2	1	2	1
8	6	5	5	5	5	1	1	2	2	4	1	4	1	5	5	2	2	1	4	4	2	1	3	1	5	3	1	2	1	5	2	1	2	3	3	5	1	4	4	5	3	5	3	20/11/1973	04/06/2014	41	2	3	3	3	1	2	2	3	1	6	3
9	6	5	5	5	5	1	6	8	2	5	3	3	5	5	3	3	1	5	4	4	4	4	3	2	5	1	1	1	2	3	1	1	4	1	2	4	1	3	3	5	5	5	5	15/3/1990	04/06/2014	24	2	3	76	11	1	2	3	2	1	3	3
10	3	1	4	1	5	1	6	7	2	2	2	3	1	4	1	1	3	1	5	1	1	2	1	3	1	1	1	3	3	3	2	1	5	3	3	1	5	1	3	5	1	5	5	5/5/1943	04/06/2014	71	1	3	3	3	1	1	1	1	1	6	3
11	3	3	3	5	5	1	6	4	2	3	4	4	3	4	2	4	4	1	1	3	3	4	1	3	3	4	2	4	2	1	2	1	1	2	1	3	3	4	2	5	3	4	4	4/12/1973	04/06/2014	41	2	4	3	3	1	1	2	3	1	1	7
12	6	5	5	5	5	1	1	1	2	3	3	3	1	5	1	3	5	5	4	5	1	3	1	3	2	2	1	4	1	5	1	1	2	3	2	5	1	2	3	5	5	5	3	9/11/1967	04/06/2014	47	2	2	3	3	1	2	3	2	1	1	7
13	3	1	5	5	5	2	4	4	2	5	3	4	4	5	3	4	5	5	3	4	5	3	4	2	5	5	3	4	2	1	2	1	2	2	1	1	3	5	3	4	3	2	4	8/4/1990	04/06/2014	24	1	3	3	3	1	2	3	2	2	6	3
14	6	5	5	5	5	1	1	7	2	5	4	4	4	5	4	2	3	1	1	2	4	3	3	1	5	3	4	4	1	1	1	1	1	3	2	2	2	1	2	5	4	5	4	16/1/1947	04/06/2014	67	1	3	3	3	1	2	3	3	1	1	6
15	3	1	3	5	5	2	1	3	2	4	3	4	3	4	3	2	4	4	4	4	4	3	3	2	3	3	1	4	2	1	2	1	3	3	2	5	1	5	3	3	1	5	2	29/7/1957	04/06/2014	57	1	3	3	3	1	2	3	2	2	1	3
16	3	1	5	5	5	2	1	2	2	5	4	2	3	5	5	4	5	5	4	5	4	5	5	1	5	2	4	5	2	1	1	1	1	1	1	4	4	5	5	5	3	5	4	2/7/1961	04/06/2014	53	1	3	10	3	2	2	2	3	1	2	2
